run,t_hours,loss
gptneo_1b_snaphot_report,76.5,6.17
gptneo_1b_snaphot_report,76.75,6.17
gptneo_1b_snaphot_report,77.0,6.26
gptneo_1b_snaphot_report,77.25,6.195
gptneo_1b_snaphot_report,77.5,6.125
gptneo_1b_snaphot_report,77.75,6.135
gptneo_1b_snaphot_report,78.0,6.11
gptneo_1b_snaphot_report,78.25,6.215
gptneo_1b_snaphot_report,78.5,6.215
gptneo_1b_snaphot_report,78.75,6.1850000000000005
gptneo_1b_snaphot_report,79.0,6.109999999999999
gptneo_1b_snaphot_report,79.25,6.165
gptneo_1b_snaphot_report,79.5,6.18
gptneo_1b_snaphot_report,79.75,6.105
gptneo_1b_snaphot_report,80.0,6.125
gptneo_1b_snaphot_report,80.25,6.145
gptneo_1b_snaphot_report,80.5,6.085
gptneo_1b_snaphot_report,80.75,6.085
gptneo_1b_snaphot_report,81.0,6.07
gptneo_1b_snaphot_report,81.25,6.115
gptneo_1b_snaphot_report,81.5,6.15
gptneo_1b_snaphot_report,81.75,6.17
gptneo_1b_snaphot_report,82.0,6.15
gptneo_1b_snaphot_report,82.25,6.135
gptneo_1b_snaphot_report,82.5,6.1850000000000005
gptneo_1b_snaphot_report,82.75,6.15
gptneo_1b_snaphot_report,83.0,6.1850000000000005
gptneo_1b_snaphot_report,83.25,6.07
gptneo_1b_snaphot_report,83.5,6.16
gptneo_1b_snaphot_report,83.75,6.154999999999999
gptneo_1b_snaphot_report,84.0,6.0649999999999995
gptneo_1b_snaphot_report,84.25,6.145
gptneo_1b_snaphot_report,84.5,6.1899999999999995
gptneo_1b_snaphot_report,84.75,6.1
gptneo_1b_snaphot_report,85.0,6.11
gptneo_1b_snaphot_report,85.25,6.105
gptneo_1b_snaphot_report,85.5,6.105
gptneo_1b_snaphot_report,85.75,6.165
gptneo_1b_snaphot_report,86.0,6.135
gptneo_1b_snaphot_report,86.25,6.115
gptneo_1b_snaphot_report,86.5,6.165
gptneo_1b_snaphot_report,86.75,6.154999999999999
gptneo_1b_snaphot_report,87.0,6.175000000000001
gptneo_1b_snaphot_report,87.25,6.125
gptneo_1b_snaphot_report,87.5,6.109999999999999
gptneo_1b_snaphot_report,87.75,6.1
gptneo_1b_snaphot_report,88.0,6.09
gptneo_1b_snaphot_report,88.25,6.09
gptneo_1b_snaphot_report,88.5,6.145
gptneo_1b_snaphot_report,88.75,6.08
gptneo_1b_snaphot_report,89.0,6.130000000000001
gptneo_1b_snaphot_report,89.25,6.135
gptneo_1b_snaphot_report,89.5,6.1850000000000005
gptneo_1b_snaphot_report,89.75,6.16
gptneo_1b_snaphot_report,90.0,7.88
gptneo_1b_snaphot_report,90.25,6.12
gptneo_1b_snaphot_report,90.5,6.11
gptneo_1b_snaphot_report,90.75,6.115
gptneo_1b_snaphot_report,91.0,6.115
gptneo_1b_snaphot_report,91.25,6.15
gptneo_1b_snaphot_report,91.5,6.1
gptneo_1b_snaphot_report,91.75,6.105
gptneo_1b_snaphot_report,92.0,6.18
gptneo_1b_snaphot_report,92.25,6.175000000000001
gptneo_1b_snaphot_report,92.5,6.075
gptneo_1b_snaphot_report,92.75,6.0649999999999995
gptneo_1b_snaphot_report,93.0,6.16
gptneo_1b_snaphot_report,93.25,6.105
gptneo_1b_snaphot_report,93.5,6.1
gptneo_1b_snaphot_report,93.75,6.095
gptneo_1b_snaphot_report,94.0,6.175000000000001
gptneo_1b_snaphot_report,94.25,6.085
gptneo_1b_snaphot_report,94.5,6.09
gptneo_1b_snaphot_report,94.75,6.0649999999999995
gptneo_1b_snaphot_report,95.0,6.1
gptneo_1b_snaphot_report,95.25,6.115
gptneo_1b_snaphot_report,95.5,6.125
gptneo_1b_snaphot_report,95.75,6.105
gptneo_1b_snaphot_report,96.0,6.08
gptneo_1b_snaphot_report,96.25,6.055
gptneo_1b_snaphot_report,96.5,6.045
gptneo_1b_snaphot_report,96.75,6.075
gptneo_1b_snaphot_report,97.0,6.140000000000001
gptneo_1b_snaphot_report,97.25,6.075
gptneo_1b_snaphot_report,97.5,6.135
gptneo_1b_snaphot_report,97.75,6.08
gptneo_1b_snaphot_report,98.0,6.105
gptneo_1b_snaphot_report,98.25,6.095000000000001
gptneo_1b_snaphot_report,98.5,6.1
gptneo_1b_snaphot_report,98.75,6.06
gptneo_1b_snaphot_report,99.0,6.0649999999999995
gptneo_1b_snaphot_report,99.25,6.07
gptneo_1b_snaphot_report,99.5,6.154999999999999
gptneo_1b_snaphot_report,99.75,6.109999999999999
gptneo_1b_snaphot_report,100.0,6.140000000000001
gptneo_1b_snaphot_report,100.25,6.08
gptneo_1b_snaphot_report,100.5,6.074999999999999
gptneo_1b_snaphot_report,100.75,6.12
gptneo_1b_snaphot_report,101.0,6.175000000000001
gptneo_1b_snaphot_report,101.25,6.17
gptneo_1b_snaphot_report,101.5,6.135
gptneo_1b_snaphot_report,101.75,6.135
gptneo_1b_snaphot_report,102.0,6.085
gptneo_1b_snaphot_report,102.25,6.0600000000000005
gptneo_1b_snaphot_report,102.5,6.210000000000001
gptneo_1b_snaphot_report,102.75,6.210000000000001
gptneo_1b_snaphot_report,103.0,6.0649999999999995
gptneo_1b_snaphot_report,103.25,6.1
gptneo_1b_snaphot_report,103.5,6.09
gptneo_1b_snaphot_report,103.75,6.125
gptneo_1b_snaphot_report,104.0,6.05
gptneo_1b_snaphot_report,104.25,6.095
gptneo_1b_snaphot_report,104.5,6.095
gptneo_1b_snaphot_report,104.75,6.05
gptneo_1b_snaphot_report,105.0,6.08
gptneo_1b_snaphot_report,105.25,6.0600000000000005
gptneo_1b_snaphot_report,105.5,6.145
gptneo_1b_snaphot_report,105.75,6.175000000000001
gptneo_1b_snaphot_report,106.0,6.125
gptneo_1b_snaphot_report,106.25,6.115
gptneo_1b_snaphot_report,106.5,6.085
gptneo_1b_snaphot_report,106.75,6.045
gptneo_1b_snaphot_report,107.0,6.109999999999999
gptneo_1b_snaphot_report,107.25,5.705
gptneo_1b_snaphot_report,107.5,7.885
gptneo_1b_snaphot_report,107.75,6.140000000000001
gptneo_1b_snaphot_report,108.0,6.165
gptneo_1b_snaphot_report,108.25,6.105
gptneo_1b_snaphot_report,108.5,7.725
gptneo_1b_snaphot_report,108.75,6.095
gptneo_1b_snaphot_report,109.0,6.1
gptneo_1b_snaphot_report,109.25,6.055
gptneo_1b_snaphot_report,109.5,6.075
gptneo_1b_snaphot_report,109.75,6.08
