"Time","debug","error","info","warn"
2026-01-06 02:43:00,4.51 K,,187,
2026-01-06 02:44:00,5.56 K,,275,
2026-01-06 02:45:00,4.72 K,1,238,
2026-01-06 02:46:00,8.66 K,,764,
2026-01-06 02:47:00,5.85 K,,288,
2026-01-06 02:48:00,8.90 K,,594,
2026-01-06 02:49:00,9.20 K,,535,
2026-01-06 02:50:00,8.70 K,,529,
2026-01-06 02:51:00,10.2 K,,494,
2026-01-06 02:52:00,8.86 K,,569,
2026-01-06 02:53:00,8.90 K,,488,
2026-01-06 02:54:00,8.93 K,,530,
2026-01-06 02:55:00,9.45 K,,563,
2026-01-06 02:56:00,10.3 K,,545,
2026-01-06 02:57:00,9.04 K,,528,
2026-01-06 02:58:00,7.71 K,,424,
2026-01-06 02:59:00,6.49 K,,300,
2026-01-06 03:00:00,4.85 K,,194,
2026-01-06 03:01:00,6.30 K,,256,
2026-01-06 03:02:00,5.77 K,,271,
2026-01-06 03:03:00,4.93 K,,228,
2026-01-06 03:04:00,5.82 K,,294,
2026-01-06 03:05:00,5.53 K,,248,
2026-01-06 03:06:00,6.79 K,,325,
2026-01-06 03:07:00,5.44 K,,249,
2026-01-06 03:08:00,7.87 K,,546,
2026-01-06 03:09:00,8.98 K,,489,
2026-01-06 03:10:00,8.44 K,,466,
2026-01-06 03:11:00,9.93 K,,497,
2026-01-06 03:12:00,8.69 K,,504,
2026-01-06 03:13:00,8.77 K,,530,
2026-01-06 03:14:00,8.27 K,,431,
2026-01-06 03:15:00,9.73 K,,525,
2026-01-06 03:16:00,9.49 K,,520,
2026-01-06 03:17:00,8.38 K,,421,
2026-01-06 03:18:00,8.66 K,,459,
2026-01-06 03:19:00,8.56 K,,556,
2026-01-06 03:20:00,8.46 K,,493,
2026-01-06 03:21:00,6.03 K,,221,
2026-01-06 03:22:00,5.64 K,,300,
2026-01-06 03:23:00,5.17 K,,232,
2026-01-06 03:24:00,6.25 K,,288,
2026-01-06 03:25:00,8.41 K,,475,
2026-01-06 03:26:00,9.76 K,,476,
2026-01-06 03:27:00,8.79 K,,514,
2026-01-06 03:28:00,8.98 K,,550,
2026-01-06 03:29:00,9.21 K,,543,
2026-01-06 03:30:00,8.78 K,,486,
2026-01-06 03:31:00,10.1 K,,543,
2026-01-06 03:32:00,9.61 K,,498,
2026-01-06 03:33:00,9.12 K,,501,
2026-01-06 03:34:00,9.08 K,,478,
2026-01-06 03:35:00,8.77 K,,526,
2026-01-06 03:36:00,6.88 K,,288,
2026-01-06 03:37:00,5.18 K,,263,
2026-01-06 03:38:00,4.74 K,,221,
2026-01-06 03:39:00,5.20 K,,231,
2026-01-06 03:40:00,4.59 K,,198,
2026-01-06 03:41:00,6.09 K,1,219,
2026-01-06 03:42:00,5.12 K,,257,
2026-01-06 03:43:00,5.70 K,,277,
2026-01-06 03:44:00,5.97 K,,324,
2026-01-06 03:45:00,4.86 K,,238,
2026-01-06 03:46:00,6.97 K,,266,
2026-01-06 03:47:00,7.26 K,,456,
2026-01-06 03:48:00,8.90 K,,501,
2026-01-06 03:49:00,9.05 K,,494,
2026-01-06 03:50:00,8.70 K,,493,
