"Time","Weighted Average","Average"
2026-01-06 03:54:00,2.50,2.51
2026-01-06 03:55:00,2.87,2.68
2026-01-06 03:56:00,2.27,2.63
2026-01-06 03:57:00,2.58,2.51
2026-01-06 03:58:00,2.38,2.29
2026-01-06 03:59:00,2.66,2.59
2026-01-06 04:00:00,2.33,2.34
2026-01-06 04:01:00,2.38,2.32
2026-01-06 04:02:00,2.61,2.53
2026-01-06 04:03:00,2.41,2.42
2026-01-06 04:04:00,2.32,2.31
2026-01-06 04:05:00,2.65,2.65
2026-01-06 04:06:00,2.63,2.61
2026-01-06 04:07:00,2.48,2.48
2026-01-06 04:08:00,2.18,2.24
2026-01-06 04:09:00,2.58,2.51
