"Time","gateway1"
2026-01-06 02:00:00,1.02 kb/s
2026-01-06 02:01:00,4.09 kb/s
2026-01-06 02:02:00,4.28 kb/s
2026-01-06 02:03:00,4.44 kb/s
2026-01-06 02:04:00,1.68 kb/s
2026-01-06 02:05:00,1.02 kb/s
2026-01-06 02:06:00,4.14 kb/s
2026-01-06 02:07:00,4.05 kb/s
2026-01-06 02:08:00,4.23 kb/s
2026-01-06 02:09:00,1.40 kb/s
2026-01-06 02:10:00,1.03 kb/s
2026-01-06 02:11:00,4.09 kb/s
2026-01-06 02:12:00,4.17 kb/s
2026-01-06 02:13:00,4.30 kb/s
2026-01-06 02:14:00,1.50 kb/s
2026-01-06 02:15:00,981 b/s
2026-01-06 02:16:00,4.07 kb/s
2026-01-06 02:17:00,4.15 kb/s
2026-01-06 02:18:00,4.28 kb/s
2026-01-06 02:19:00,1.50 kb/s
2026-01-06 02:20:00,973 b/s
2026-01-06 02:21:00,4.11 kb/s
2026-01-06 02:22:00,4.05 kb/s
2026-01-06 02:23:00,4.18 kb/s
2026-01-06 02:24:00,1.34 kb/s
2026-01-06 02:25:00,973 b/s
2026-01-06 02:26:00,4.20 kb/s
2026-01-06 02:27:00,4.35 kb/s
2026-01-06 02:28:00,4.59 kb/s
2026-01-06 02:29:00,1.67 kb/s
2026-01-06 02:30:00,1.13 kb/s
2026-01-06 02:31:00,4.11 kb/s
2026-01-06 02:32:00,4.50 kb/s
2026-01-06 02:33:00,4.81 kb/s
2026-01-06 02:34:00,2.08 kb/s
2026-01-06 02:35:00,1.26 kb/s
2026-01-06 02:36:00,4.21 kb/s
2026-01-06 02:37:00,4.09 kb/s
2026-01-06 02:38:00,4.23 kb/s
2026-01-06 02:39:00,1.35 kb/s
2026-01-06 02:40:00,981 b/s
2026-01-06 02:41:00,4.07 kb/s
2026-01-06 02:42:00,4.15 kb/s
2026-01-06 02:43:00,4.28 kb/s
2026-01-06 02:44:00,1.50 kb/s
2026-01-06 02:45:00,973 b/s
2026-01-06 02:46:00,4.06 kb/s
2026-01-06 02:47:00,4.00 kb/s
2026-01-06 02:48:00,4.27 kb/s
2026-01-06 02:49:00,1.53 kb/s
2026-01-06 02:50:00,1.19 kb/s
2026-01-06 02:51:00,4.38 kb/s
2026-01-06 02:52:00,4.47 kb/s
2026-01-06 02:53:00,4.66 kb/s
2026-01-06 02:54:00,1.70 kb/s
2026-01-06 02:55:00,1.23 kb/s
2026-01-06 02:56:00,4.32 kb/s
2026-01-06 02:57:00,4.23 kb/s
2026-01-06 02:58:00,4.31 kb/s
2026-01-06 02:59:00,1.45 kb/s
2026-01-06 03:00:00,1.09 kb/s
2026-01-06 03:01:00,4.13 kb/s
2026-01-06 03:02:00,4.29 kb/s
2026-01-06 03:03:00,4.40 kb/s
2026-01-06 03:04:00,1.64 kb/s
2026-01-06 03:05:00,1.02 kb/s
2026-01-06 03:06:00,4.09 kb/s
2026-01-06 03:07:00,4.00 kb/s
2026-01-06 03:08:00,4.13 kb/s
2026-01-06 03:09:00,1.44 kb/s
2026-01-06 03:10:00,1.09 kb/s
2026-01-06 03:11:00,4.39 kb/s
2026-01-06 03:12:00,4.33 kb/s
2026-01-06 03:13:00,4.65 kb/s
2026-01-06 03:14:00,1.72 kb/s
2026-01-06 03:15:00,1.27 kb/s
2026-01-06 03:16:00,4.26 kb/s
2026-01-06 03:17:00,4.39 kb/s
2026-01-06 03:18:00,4.82 kb/s
2026-01-06 03:19:00,2.01 kb/s
2026-01-06 03:20:00,1.39 kb/s
2026-01-06 03:21:00,4.15 kb/s
2026-01-06 03:22:00,4.00 kb/s
2026-01-06 03:23:00,4.18 kb/s
2026-01-06 03:24:00,1.40 kb/s
2026-01-06 03:25:00,1.03 kb/s
2026-01-06 03:26:00,4.22 kb/s
2026-01-06 03:27:00,4.15 kb/s
2026-01-06 03:28:00,4.69 kb/s
2026-01-06 03:29:00,1.88 kb/s
2026-01-06 03:30:00,1.60 kb/s
2026-01-06 03:31:00,4.43 kb/s
2026-01-06 03:32:00,4.36 kb/s
2026-01-06 03:33:00,4.49 kb/s
2026-01-06 03:34:00,1.63 kb/s
2026-01-06 03:35:00,1.29 kb/s
2026-01-06 03:36:00,4.32 kb/s
2026-01-06 03:37:00,4.18 kb/s
2026-01-06 03:38:00,4.46 kb/s
2026-01-06 03:39:00,1.63 kb/s
2026-01-06 03:40:00,1.26 kb/s
2026-01-06 03:41:00,4.09 kb/s
2026-01-06 03:42:00,4.02 kb/s
2026-01-06 03:43:00,4.15 kb/s
2026-01-06 03:44:00,1.35 kb/s
2026-01-06 03:45:00,981 b/s
2026-01-06 03:46:00,4.11 kb/s
2026-01-06 03:47:00,4.04 kb/s
2026-01-06 03:48:00,4.21 kb/s
2026-01-06 03:49:00,1.45 kb/s
2026-01-06 03:50:00,1.15 kb/s
2026-01-06 03:51:00,4.30 kb/s
2026-01-06 03:52:00,4.45 kb/s
2026-01-06 03:53:00,4.77 kb/s
2026-01-06 03:54:00,1.90 kb/s
2026-01-06 03:55:00,1.29 kb/s
2026-01-06 03:56:00,4.16 kb/s
2026-01-06 03:57:00,4.17 kb/s
2026-01-06 03:58:00,4.39 kb/s
2026-01-06 03:59:00,1.73 kb/s
2026-01-06 04:00:00,1.28 kb/s
2026-01-06 04:01:00,4.31 kb/s
2026-01-06 04:02:00,4.24 kb/s
2026-01-06 04:03:00,4.48 kb/s
2026-01-06 04:04:00,1.76 kb/s
2026-01-06 04:05:00,1.33 kb/s
2026-01-06 04:06:00,4.44 kb/s
2026-01-06 04:07:00,4.42 kb/s
2026-01-06 04:08:00,4.56 kb/s
2026-01-06 04:09:00,1.71 kb/s
