"Time","gateway1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","gateway1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","gateway1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","gateway1 (aws) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker3 (hetzner) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker3 (hetzner) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker3 (hetzner) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker3 (hetzner) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","scheduler (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","scheduler (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","scheduler (yorizon) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","scheduler (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker2 (yorizon) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker2 (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker2 (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker2 (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z"
2026-01-08 14:35:00,12.2 ms,0.953 ms,6.08 ms,12.4 ms,11.8 ms,5.86 ms,12.1 ms,0.868 ms,11.2 ms,5.86 ms,11.1 ms,6.06 ms,12.0 ms,11.2 ms,0.0951 ms,12.2 ms,0.117 ms,12.1 ms,11.2 ms,12.3 ms
2026-01-08 14:36:00,12.2 ms,1.05 ms,6.08 ms,12.4 ms,11.9 ms,5.79 ms,12.0 ms,0.980 ms,11.2 ms,5.91 ms,11.2 ms,6.03 ms,11.9 ms,11.6 ms,0.0664 ms,12.1 ms,0.0840 ms,12.1 ms,11.4 ms,12.3 ms
2026-01-08 14:37:00,12.4 ms,0.905 ms,5.92 ms,12.4 ms,11.9 ms,5.78 ms,12.0 ms,0.972 ms,11.2 ms,5.80 ms,11.1 ms,6.07 ms,12.0 ms,11.2 ms,0.123 ms,12.3 ms,0.137 ms,12.1 ms,11.2 ms,12.4 ms
2026-01-08 14:38:00,12.4 ms,0.929 ms,6.08 ms,12.4 ms,11.7 ms,5.75 ms,11.9 ms,0.910 ms,11.2 ms,5.68 ms,11.2 ms,6.09 ms,12.0 ms,11.3 ms,0.0984 ms,12.4 ms,0.0855 ms,12.0 ms,11.2 ms,12.4 ms
2026-01-08 14:39:00,12.3 ms,0.997 ms,6.06 ms,12.4 ms,11.8 ms,5.84 ms,11.9 ms,0.918 ms,11.2 ms,5.70 ms,11.3 ms,6.26 ms,12.0 ms,11.2 ms,0.148 ms,12.2 ms,0.118 ms,12.0 ms,11.3 ms,12.4 ms
2026-01-08 14:40:00,12.4 ms,0.915 ms,6.09 ms,12.4 ms,11.8 ms,5.83 ms,11.8 ms,1.02 ms,11.2 ms,5.78 ms,11.4 ms,6.45 ms,12.0 ms,11.2 ms,0.0762 ms,12.4 ms,0.121 ms,11.9 ms,11.4 ms,12.4 ms
2026-01-08 14:41:00,12.4 ms,1.08 ms,5.93 ms,12.5 ms,11.8 ms,6.16 ms,11.9 ms,0.945 ms,11.2 ms,6.21 ms,11.3 ms,6.56 ms,11.9 ms,11.2 ms,0.128 ms,12.6 ms,0.249 ms,12.0 ms,11.3 ms,12.4 ms
2026-01-08 14:42:00,12.5 ms,1.01 ms,6.04 ms,12.3 ms,12.0 ms,6.27 ms,12.2 ms,1.07 ms,12.1 ms,6.54 ms,11.1 ms,6.09 ms,11.9 ms,11.4 ms,0.0861 ms,12.4 ms,0.0854 ms,12.1 ms,11.3 ms,12.6 ms
2026-01-08 14:43:00,12.4 ms,0.998 ms,6.06 ms,12.4 ms,11.8 ms,5.82 ms,11.8 ms,1.10 ms,11.1 ms,5.92 ms,11.1 ms,6.37 ms,12.0 ms,11.2 ms,0.103 ms,12.4 ms,0.131 ms,11.8 ms,11.2 ms,12.4 ms
2026-01-08 14:44:00,12.3 ms,1.02 ms,6.07 ms,12.4 ms,11.9 ms,5.78 ms,11.9 ms,0.952 ms,11.1 ms,5.69 ms,11.2 ms,6.11 ms,12.0 ms,11.2 ms,0.0949 ms,12.4 ms,0.0766 ms,12.0 ms,11.3 ms,12.4 ms
2026-01-08 14:45:00,12.3 ms,0.894 ms,6.07 ms,12.4 ms,12.0 ms,5.72 ms,12.0 ms,1.02 ms,11.2 ms,5.69 ms,11.2 ms,6.05 ms,12.0 ms,11.2 ms,0.0689 ms,12.4 ms,0.115 ms,12.1 ms,11.3 ms,12.5 ms
2026-01-08 14:46:00,12.3 ms,0.943 ms,6.05 ms,12.4 ms,11.8 ms,6.29 ms,11.8 ms,0.878 ms,11.4 ms,6.33 ms,11.1 ms,6.08 ms,12.0 ms,11.2 ms,0.0825 ms,13.2 ms,0.0863 ms,11.8 ms,11.2 ms,12.4 ms
2026-01-08 14:47:00,12.4 ms,0.814 ms,6.05 ms,12.4 ms,11.8 ms,5.84 ms,11.7 ms,0.998 ms,11.2 ms,5.87 ms,11.2 ms,6.32 ms,12.0 ms,11.2 ms,0.114 ms,12.4 ms,0.124 ms,11.9 ms,11.2 ms,12.4 ms
2026-01-08 14:48:00,12.3 ms,0.984 ms,6.00 ms,12.4 ms,11.9 ms,5.67 ms,11.8 ms,0.988 ms,11.1 ms,5.62 ms,11.4 ms,6.60 ms,12.0 ms,11.2 ms,0.100 ms,12.4 ms,0.106 ms,11.9 ms,11.3 ms,12.4 ms
2026-01-08 14:49:00,12.3 ms,0.997 ms,5.94 ms,12.4 ms,11.8 ms,5.85 ms,12.0 ms,0.988 ms,11.1 ms,5.79 ms,11.2 ms,6.49 ms,11.9 ms,11.3 ms,0.144 ms,12.4 ms,0.140 ms,12.0 ms,11.3 ms,12.4 ms
2026-01-08 14:50:00,12.3 ms,1.03 ms,6.04 ms,12.5 ms,11.8 ms,5.99 ms,11.9 ms,1.01 ms,11.2 ms,5.98 ms,11.2 ms,6.56 ms,11.9 ms,11.2 ms,0.171 ms,12.3 ms,0.0788 ms,12.0 ms,11.3 ms,12.4 ms
2026-01-08 14:51:00,12.3 ms,1.05 ms,6.00 ms,12.4 ms,11.9 ms,6.32 ms,12.1 ms,0.913 ms,11.4 ms,6.29 ms,11.3 ms,6.10 ms,12.0 ms,11.2 ms,0.0862 ms,12.4 ms,0.122 ms,12.1 ms,11.3 ms,12.4 ms
