"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""wav2vec2_4ba6b0ef""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""wav2vec2_4ba6b0ef""}[4m0s])
)  * 8 "
2026-01-11 06:07:00,263 Mb/s
2026-01-11 06:08:00,253 Mb/s
2026-01-11 06:09:00,244 Mb/s
2026-01-11 06:10:00,220 Mb/s
2026-01-11 06:11:00,275 Mb/s
2026-01-11 06:12:00,288 Mb/s
2026-01-11 06:13:00,309 Mb/s
2026-01-11 06:14:00,260 Mb/s
2026-01-11 06:15:00,249 Mb/s
2026-01-11 06:16:00,226 Mb/s
2026-01-11 06:17:00,226 Mb/s
2026-01-11 06:18:00,257 Mb/s
2026-01-11 06:19:00,268 Mb/s
2026-01-11 06:20:00,265 Mb/s
2026-01-11 06:21:00,256 Mb/s
2026-01-11 06:22:00,264 Mb/s
2026-01-11 06:23:00,275 Mb/s
2026-01-11 06:24:00,265 Mb/s
2026-01-11 06:25:00,268 Mb/s
2026-01-11 06:26:00,261 Mb/s
2026-01-11 06:27:00,287 Mb/s
2026-01-11 06:28:00,275 Mb/s
2026-01-11 06:29:00,270 Mb/s
2026-01-11 06:30:00,256 Mb/s
2026-01-11 06:31:00,276 Mb/s
2026-01-11 06:32:00,308 Mb/s
2026-01-11 06:33:00,301 Mb/s
2026-01-11 06:34:00,294 Mb/s
2026-01-11 06:35:00,291 Mb/s
2026-01-11 06:36:00,287 Mb/s
2026-01-11 06:37:00,278 Mb/s
2026-01-11 06:38:00,275 Mb/s
2026-01-11 06:39:00,269 Mb/s
2026-01-11 06:40:00,284 Mb/s
2026-01-11 06:41:00,215 Mb/s
2026-01-11 06:42:00,244 Mb/s
2026-01-11 06:43:00,220 Mb/s
2026-01-11 06:44:00,277 Mb/s
2026-01-11 06:45:00,270 Mb/s
2026-01-11 06:46:00,260 Mb/s
2026-01-11 06:47:00,246 Mb/s
2026-01-11 06:48:00,225 Mb/s
2026-01-11 06:49:00,248 Mb/s
2026-01-11 06:50:00,263 Mb/s
2026-01-11 06:51:00,255 Mb/s
2026-01-11 06:52:00,232 Mb/s
2026-01-11 06:53:00,225 Mb/s
2026-01-11 06:54:00,236 Mb/s
2026-01-11 06:55:00,262 Mb/s
2026-01-11 06:56:00,257 Mb/s
2026-01-11 06:57:00,269 Mb/s
2026-01-11 06:58:00,265 Mb/s
2026-01-11 06:59:00,269 Mb/s
2026-01-11 07:00:00,303 Mb/s
2026-01-11 07:01:00,280 Mb/s
2026-01-11 07:02:00,272 Mb/s
2026-01-11 07:03:00,213 Mb/s
2026-01-11 07:04:00,248 Mb/s
2026-01-11 07:05:00,257 Mb/s
2026-01-11 07:06:00,272 Mb/s
2026-01-11 07:07:00,264 Mb/s
2026-01-11 07:08:00,282 Mb/s
2026-01-11 07:09:00,312 Mb/s
2026-01-11 07:10:00,298 Mb/s
2026-01-11 07:11:00,299 Mb/s
2026-01-11 07:12:00,275 Mb/s
2026-01-11 07:13:00,273 Mb/s
2026-01-11 07:14:00,255 Mb/s
2026-01-11 07:15:00,266 Mb/s
2026-01-11 07:16:00,243 Mb/s
2026-01-11 07:17:00,189 Mb/s
2026-01-11 07:18:00,197 Mb/s
2026-01-11 07:19:00,221 Mb/s
2026-01-11 07:20:00,294 Mb/s
2026-01-11 07:21:00,291 Mb/s
2026-01-11 07:22:00,313 Mb/s
2026-01-11 07:23:00,282 Mb/s
2026-01-11 07:24:00,265 Mb/s
2026-01-11 07:25:00,242 Mb/s
2026-01-11 07:26:00,260 Mb/s
2026-01-11 07:27:00,265 Mb/s
2026-01-11 07:28:00,256 Mb/s
2026-01-11 07:29:00,269 Mb/s
2026-01-11 07:30:00,250 Mb/s
2026-01-11 07:31:00,252 Mb/s
2026-01-11 07:32:00,223 Mb/s
2026-01-11 07:33:00,243 Mb/s
2026-01-11 07:34:00,251 Mb/s
2026-01-11 07:35:00,256 Mb/s
2026-01-11 07:36:00,232 Mb/s
2026-01-11 07:37:00,225 Mb/s
2026-01-11 07:38:00,220 Mb/s
2026-01-11 07:39:00,229 Mb/s
2026-01-11 07:40:00,254 Mb/s
2026-01-11 07:41:00,274 Mb/s
2026-01-11 07:42:00,298 Mb/s
2026-01-11 07:43:00,268 Mb/s
2026-01-11 07:44:00,252 Mb/s
2026-01-11 07:45:00,222 Mb/s
2026-01-11 07:46:00,227 Mb/s
2026-01-11 07:47:00,255 Mb/s
2026-01-11 07:48:00,262 Mb/s
2026-01-11 07:49:00,259 Mb/s
2026-01-11 07:50:00,238 Mb/s
2026-01-11 07:51:00,236 Mb/s
2026-01-11 07:52:00,248 Mb/s
2026-01-11 07:53:00,243 Mb/s
2026-01-11 07:54:00,247 Mb/s
2026-01-11 07:55:00,231 Mb/s
2026-01-11 07:56:00,271 Mb/s
2026-01-11 07:57:00,262 Mb/s
2026-01-11 07:58:00,266 Mb/s
2026-01-11 07:59:00,239 Mb/s
2026-01-11 08:00:00,271 Mb/s
2026-01-11 08:01:00,260 Mb/s
2026-01-11 08:02:00,252 Mb/s
2026-01-11 08:03:00,217 Mb/s
2026-01-11 08:04:00,193 Mb/s
2026-01-11 08:05:00,212 Mb/s
2026-01-11 08:06:00,237 Mb/s
2026-01-11 08:07:00,267 Mb/s
2026-01-11 08:08:00,287 Mb/s
2026-01-11 08:09:00,284 Mb/s
2026-01-11 08:10:00,291 Mb/s
2026-01-11 08:11:00,257 Mb/s
2026-01-11 08:12:00,257 Mb/s
2026-01-11 08:13:00,250 Mb/s
2026-01-11 08:14:00,234 Mb/s
2026-01-11 08:15:00,210 Mb/s
2026-01-11 08:16:00,205 Mb/s
2026-01-11 08:17:00,213 Mb/s
2026-01-11 08:18:00,224 Mb/s
2026-01-11 08:19:00,248 Mb/s
2026-01-11 08:20:00,253 Mb/s
2026-01-11 08:21:00,250 Mb/s
2026-01-11 08:22:00,263 Mb/s
2026-01-11 08:23:00,269 Mb/s
2026-01-11 08:24:00,270 Mb/s
2026-01-11 08:25:00,254 Mb/s
2026-01-11 08:26:00,251 Mb/s
2026-01-11 08:27:00,254 Mb/s
2026-01-11 08:28:00,236 Mb/s
2026-01-11 08:29:00,226 Mb/s
2026-01-11 08:30:00,227 Mb/s
2026-01-11 08:31:00,254 Mb/s
2026-01-11 08:32:00,240 Mb/s
2026-01-11 08:33:00,251 Mb/s
2026-01-11 08:34:00,238 Mb/s
2026-01-11 08:35:00,271 Mb/s
2026-01-11 08:36:00,223 Mb/s
2026-01-11 08:37:00,243 Mb/s
2026-01-11 08:38:00,244 Mb/s
2026-01-11 08:39:00,275 Mb/s
2026-01-11 08:40:00,266 Mb/s
2026-01-11 08:41:00,246 Mb/s
2026-01-11 08:42:00,252 Mb/s
2026-01-11 08:43:00,260 Mb/s
2026-01-11 08:44:00,259 Mb/s
2026-01-11 08:45:00,256 Mb/s
2026-01-11 08:46:00,224 Mb/s
2026-01-11 08:47:00,219 Mb/s
2026-01-11 08:48:00,226 Mb/s
2026-01-11 08:49:00,259 Mb/s
2026-01-11 08:50:00,270 Mb/s
2026-01-11 08:51:00,266 Mb/s
