"Time","gateway1","scheduler","worker1","worker3","worker4","worker6"
2026-01-03 19:25:00,4.43 kb/s,15.6 kb/s,26.2 Mb/s,81.1 Mb/s,135 Mb/s,246 Mb/s
2026-01-03 19:30:00,4.27 kb/s,21.0 kb/s,64.4 Mb/s,193 Mb/s,118 Mb/s,298 Mb/s
2026-01-03 19:35:00,4.40 kb/s,19.2 kb/s,97.7 Mb/s,293 Mb/s,97.8 Mb/s,97.8 Mb/s
2026-01-03 19:40:00,4.74 kb/s,19.4 kb/s,100 Mb/s,300 Mb/s,97.8 Mb/s,100 Mb/s
2026-01-03 19:45:00,4.74 kb/s,19.1 kb/s,103 Mb/s,306 Mb/s,104 Mb/s,103 Mb/s
2026-01-03 19:50:00,4.92 kb/s,20.7 kb/s,54.8 Mb/s,166 Mb/s,148 Mb/s,54.8 Mb/s
2026-01-03 19:55:00,4.17 kb/s,23.6 kb/s,23.9 Mb/s,71.5 Mb/s,129 Mb/s,23.9 Mb/s
2026-01-03 20:00:00,4.35 kb/s,19.4 kb/s,90.2 Mb/s,192 Mb/s,144 Mb/s,64.4 Mb/s
2026-01-03 20:05:00,4.44 kb/s,18.8 kb/s,105 Mb/s,314 Mb/s,103 Mb/s,105 Mb/s
2026-01-03 20:10:00,4.40 kb/s,18.4 kb/s,100 Mb/s,303 Mb/s,102 Mb/s,103 Mb/s
2026-01-03 20:15:00,4.51 kb/s,19.9 kb/s,78.7 Mb/s,235 Mb/s,118 Mb/s,76.3 Mb/s
2026-01-03 20:20:00,4.47 kb/s,17.7 kb/s,21.5 Mb/s,62.0 Mb/s,126 Mb/s,21.5 Mb/s
2026-01-03 20:25:00,4.50 kb/s,18.8 kb/s,33.4 Mb/s,100 Mb/s,145 Mb/s,33.4 Mb/s
2026-01-03 20:30:00,4.38 kb/s,16.9 kb/s,33.4 Mb/s,100 Mb/s,136 Mb/s,33.4 Mb/s
2026-01-03 20:35:00,4.57 kb/s,18.5 kb/s,183 Mb/s,173 Mb/s,151 Mb/s,57.2 Mb/s
2026-01-03 20:40:00,5.07 kb/s,18.9 kb/s,107 Mb/s,323 Mb/s,105 Mb/s,107 Mb/s
2026-01-03 20:45:00,4.80 kb/s,18.4 kb/s,103 Mb/s,306 Mb/s,105 Mb/s,105 Mb/s
2026-01-03 20:50:00,4.72 kb/s,18.7 kb/s,107 Mb/s,323 Mb/s,107 Mb/s,105 Mb/s
2026-01-03 20:55:00,4.43 kb/s,14.8 kb/s,42.9 Mb/s,129 Mb/s,144 Mb/s,42.9 Mb/s
2026-01-03 21:00:00,4.60 kb/s,22.1 kb/s,52.1 Mb/s,110 Mb/s,140 Mb/s,38.2 Mb/s
2026-01-03 21:05:00,4.51 kb/s,19.7 kb/s,129 Mb/s,281 Mb/s,110 Mb/s,93.0 Mb/s
2026-01-03 21:10:00,4.90 kb/s,18.5 kb/s,107 Mb/s,324 Mb/s,107 Mb/s,107 Mb/s
2026-01-03 21:15:00,4.96 kb/s,18.4 kb/s,105 Mb/s,315 Mb/s,107 Mb/s,105 Mb/s
2026-01-03 21:20:00,4.35 kb/s,18.7 kb/s,100 Mb/s,300 Mb/s,117 Mb/s,100 Mb/s
2026-01-03 21:25:00,4.20 kb/s,21.3 kb/s,94.7 Mb/s,177 Mb/s,145 Mb/s,59.6 Mb/s
2026-01-03 21:30:00,5.16 kb/s,18.8 kb/s,105 Mb/s,315 Mb/s,105 Mb/s,105 Mb/s
2026-01-03 21:35:00,5.00 kb/s,18.6 kb/s,107 Mb/s,324 Mb/s,109 Mb/s,107 Mb/s
2026-01-03 21:40:00,4.46 kb/s,18.9 kb/s,103 Mb/s,305 Mb/s,101 Mb/s,103 Mb/s
