"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""resnet_americas_03e4b61""}[6m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""resnet_americas_03e4b61""}[6m0s])
)  * 8 "
2026-01-05 06:05:00,620 Mb/s
2026-01-05 06:10:00,615 Mb/s
2026-01-05 06:15:00,629 Mb/s
2026-01-05 06:20:00,630 Mb/s
2026-01-05 06:25:00,621 Mb/s
2026-01-05 06:30:00,635 Mb/s
2026-01-05 06:35:00,660 Mb/s
2026-01-05 06:40:00,627 Mb/s
2026-01-05 06:45:00,619 Mb/s
2026-01-05 06:50:00,641 Mb/s
2026-01-05 06:55:00,661 Mb/s
2026-01-05 07:00:00,621 Mb/s
2026-01-05 07:05:00,654 Mb/s
2026-01-05 07:10:00,640 Mb/s
2026-01-05 07:15:00,627 Mb/s
2026-01-05 07:20:00,632 Mb/s
2026-01-05 07:25:00,627 Mb/s
2026-01-05 07:30:00,652 Mb/s
2026-01-05 07:35:00,636 Mb/s
2026-01-05 07:40:00,633 Mb/s
2026-01-05 07:45:00,656 Mb/s
2026-01-05 07:50:00,640 Mb/s
2026-01-05 07:55:00,640 Mb/s
2026-01-05 08:00:00,613 Mb/s
2026-01-05 08:05:00,634 Mb/s
2026-01-05 08:10:00,617 Mb/s
2026-01-05 08:15:00,606 Mb/s
2026-01-05 08:20:00,640 Mb/s
2026-01-05 08:25:00,621 Mb/s
2026-01-05 08:30:00,629 Mb/s
2026-01-05 08:35:00,627 Mb/s
2026-01-05 08:40:00,606 Mb/s
2026-01-05 08:45:00,627 Mb/s
2026-01-05 08:50:00,588 Mb/s
2026-01-05 08:55:00,629 Mb/s
2026-01-05 09:00:00,619 Mb/s
2026-01-05 09:05:00,634 Mb/s
2026-01-05 09:10:00,637 Mb/s
2026-01-05 09:15:00,628 Mb/s
2026-01-05 09:20:00,629 Mb/s
2026-01-05 09:25:00,646 Mb/s
2026-01-05 09:30:00,629 Mb/s
2026-01-05 09:35:00,644 Mb/s
2026-01-05 09:40:00,637 Mb/s
2026-01-05 09:45:00,636 Mb/s
2026-01-05 09:50:00,645 Mb/s
2026-01-05 09:55:00,642 Mb/s
2026-01-05 10:00:00,655 Mb/s
2026-01-05 10:05:00,633 Mb/s
2026-01-05 10:10:00,636 Mb/s
2026-01-05 10:15:00,632 Mb/s
2026-01-05 10:20:00,637 Mb/s
2026-01-05 10:25:00,666 Mb/s
2026-01-05 10:30:00,620 Mb/s
2026-01-05 10:35:00,652 Mb/s
2026-01-05 10:40:00,643 Mb/s
2026-01-05 10:45:00,624 Mb/s
2026-01-05 10:50:00,652 Mb/s
2026-01-05 10:55:00,608 Mb/s
2026-01-05 11:00:00,676 Mb/s
2026-01-05 11:05:00,647 Mb/s
2026-01-05 11:10:00,653 Mb/s
2026-01-05 11:15:00,676 Mb/s
2026-01-05 11:20:00,601 Mb/s
2026-01-05 11:25:00,606 Mb/s
