step,timestamp,peer_id,data_points,duration,loss,round,steps
38,1768088286025,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1200,28.74035,38,41.753143
39,1768088297012,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,400,10.986617,2.876063,39,36.407932
39,1768088308284,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,800,22.258482,2.870776,39,35.941357
39,1768088316710,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1200,30.68459,39,39.10758
40,1768088327320,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,500,10.610534,2.8827736,40,47.122982
40,1768088336877,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,800,20.166971,2.8865147,40,39.668823
40,1768088345322,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1300,28.612164,40,45.435223
41,1768088360787,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,500,15.46488,2.8808024,41,32.33132
41,1768088373818,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,800,28.495634,2.8703506,41,28.074476
41,1768088382165,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1300,36.842716,41,35.28513
42,1768088390864,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,400,8.699142,2.896727,42,45.981544
42,1768088409522,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,800,27.356901,2.8650172,42,29.243078
42,1768088417711,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1200,35.546448,42,33.758648
43,1768088428319,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,400,10.607861,2.8673236,43,37.707886
43,1768088438059,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,800,20.34726,2.8837676,43,39.317333
43,1768088447050,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1200,29.338236,43,40.902256
44,1768088459299,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,400,12.24979,2.8711078,44,32.65362
44,1768088461405,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,800,14.355598,2.8977852,44,55.727386
44,1768088469929,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1200,22.879847,44,52.447903
45,1768088484264,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,500,14.3340225,2.8761005,45,34.882042
45,1768088507303,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,700,37.373623,2.8703902,45,18.729788
45,1768088516535,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1200,46.605972,45,25.747772
46,1768088530499,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,500,13.963831,2.8823786,46,35.806793
46,1768088562011,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,800,45.47559,2.8829038,46,17.591856
46,1768088570353,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1300,53.81723,46,24.155832
47,1768088581407,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,400,11.054434,2.871131,47,36.184574
47,1768088611928,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,800,41.575207,2.875343,47,19.242237
47,1768088619627,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1200,49.27378,47,24.353724
48,1768088630916,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,400,11.288923,2.8684459,48,35.432964
48,1768088664607,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,800,44.9805,2.8975081,48,17.785484
48,1768088672327,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1200,52.7001,48,22.770355
49,1768088682639,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,400,10.3122835,2.8841712,49,38.788692
49,1768088720384,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,800,48.056995,2.8740764,49,16.6469
