run,t_hours,speed_mbps
resnet_50_145ac6a_report,34.0,57.4
resnet_50_145ac6a_report,34.166666666666664,57.4
resnet_50_145ac6a_report,34.333333333333336,57.4
resnet_50_145ac6a_report,34.5,57.4
resnet_50_145ac6a_report,34.666666666666664,57.4
resnet_50_145ac6a_report,34.833333333333336,59.5
resnet_50_145ac6a_report,35.0,57.8
resnet_50_145ac6a_report,35.166666666666664,58.4
resnet_50_145ac6a_report,35.333333333333336,55.3
resnet_50_145ac6a_report,35.5,59.5
resnet_50_145ac6a_report,35.666666666666664,58.099999999999994
resnet_50_145ac6a_report,35.833333333333336,59.5
resnet_50_145ac6a_report,36.0,58.099999999999994
resnet_50_145ac6a_report,36.166666666666664,60.2
resnet_50_145ac6a_report,36.333333333333336,57.4
resnet_50_145ac6a_report,36.5,57.4
resnet_50_145ac6a_report,36.666666666666664,60.2
resnet_50_145ac6a_report,36.833333333333336,57.4
resnet_50_145ac6a_report,37.0,60.2
resnet_50_145ac6a_report,37.166666666666664,57.4
resnet_50_145ac6a_report,37.333333333333336,58.9
resnet_50_145ac6a_report,37.5,58.7
resnet_50_145ac6a_report,37.666666666666664,57.4
resnet_50_145ac6a_report,37.833333333333336,59.5
resnet_50_145ac6a_report,38.0,58.099999999999994
resnet_50_145ac6a_report,38.166666666666664,60.2
resnet_50_145ac6a_report,38.333333333333336,59.0
resnet_50_145ac6a_report,38.5,57.9
resnet_50_145ac6a_report,38.666666666666664,58.8
resnet_50_145ac6a_report,38.833333333333336,59.5
resnet_50_145ac6a_report,39.0,59.900000000000006
resnet_50_145ac6a_report,39.166666666666664,57.7
resnet_50_145ac6a_report,39.333333333333336,57.8
resnet_50_145ac6a_report,39.5,59.8
resnet_50_145ac6a_report,39.666666666666664,59.4
resnet_50_145ac6a_report,39.833333333333336,58.2
resnet_50_145ac6a_report,40.0,57.099999999999994
resnet_50_145ac6a_report,40.166666666666664,57.1
resnet_50_145ac6a_report,40.333333333333336,56.7
resnet_50_145ac6a_report,40.5,56.0
resnet_50_145ac6a_report,40.666666666666664,56.5
resnet_50_145ac6a_report,40.833333333333336,58.3
resnet_50_145ac6a_report,41.0,57.4
resnet_50_145ac6a_report,41.166666666666664,57.4
resnet_50_145ac6a_report,41.333333333333336,57.4
resnet_50_145ac6a_report,41.5,57.4
resnet_50_145ac6a_report,41.666666666666664,58.099999999999994
resnet_50_145ac6a_report,41.833333333333336,57.4
resnet_50_145ac6a_report,42.0,59.6
resnet_50_145ac6a_report,42.166666666666664,57.4
resnet_50_145ac6a_report,42.333333333333336,56.0
resnet_50_145ac6a_report,42.5,57.4
resnet_50_145ac6a_report,42.666666666666664,57.4
resnet_50_145ac6a_report,42.833333333333336,60.2
resnet_50_145ac6a_report,43.0,57.7
resnet_50_145ac6a_report,43.166666666666664,59.900000000000006
resnet_50_145ac6a_report,43.333333333333336,58.8
resnet_50_145ac6a_report,43.5,60.2
resnet_50_145ac6a_report,43.666666666666664,58.099999999999994
resnet_50_145ac6a_report,43.833333333333336,59.5
resnet_50_145ac6a_report,44.0,60.2
resnet_50_145ac6a_report,44.166666666666664,57.4
resnet_50_145ac6a_report,44.333333333333336,60.2
resnet_50_145ac6a_report,44.5,58.099999999999994
resnet_50_145ac6a_report,44.666666666666664,59.5
resnet_50_145ac6a_report,44.833333333333336,60.2
resnet_50_145ac6a_report,45.0,60.2
resnet_50_145ac6a_report,45.166666666666664,57.4
resnet_50_145ac6a_report,45.333333333333336,58.099999999999994
resnet_50_145ac6a_report,45.5,56.7
resnet_50_145ac6a_report,45.666666666666664,54.8
resnet_50_145ac6a_report,45.833333333333336,59.3
resnet_50_145ac6a_report,46.0,56.2
resnet_50_145ac6a_report,46.166666666666664,59.5
resnet_50_145ac6a_report,46.333333333333336,60.2
resnet_50_145ac6a_report,46.5,59.7
resnet_50_145ac6a_report,46.666666666666664,60.7
resnet_50_145ac6a_report,46.833333333333336,60.2
resnet_50_145ac6a_report,47.0,60.2
resnet_50_145ac6a_report,47.166666666666664,60.2
resnet_50_145ac6a_report,47.333333333333336,60.1
resnet_50_145ac6a_report,47.5,57.5
resnet_50_145ac6a_report,47.666666666666664,59.5
resnet_50_145ac6a_report,47.833333333333336,58.099999999999994
resnet_50_145ac6a_report,48.0,60.2
resnet_50_145ac6a_report,48.166666666666664,60.2
resnet_50_145ac6a_report,48.333333333333336,60.2
resnet_50_145ac6a_report,48.5,62.2
resnet_50_145ac6a_report,48.666666666666664,56.7
resnet_50_145ac6a_report,48.833333333333336,60.2
resnet_50_145ac6a_report,49.0,60.2
resnet_50_145ac6a_report,49.166666666666664,60.2
resnet_50_145ac6a_report,49.333333333333336,60.900000000000006
resnet_50_145ac6a_report,49.5,61.6
resnet_50_145ac6a_report,49.666666666666664,60.900000000000006
resnet_50_145ac6a_report,49.833333333333336,60.2
resnet_50_145ac6a_report,50.0,60.2
resnet_50_145ac6a_report,50.166666666666664,60.2
resnet_50_145ac6a_report,50.333333333333336,60.2
resnet_50_145ac6a_report,50.5,60.2
resnet_50_145ac6a_report,50.666666666666664,60.2
resnet_50_145ac6a_report,50.833333333333336,60.2
resnet_50_145ac6a_report,51.0,60.2
resnet_50_145ac6a_report,51.166666666666664,60.2
resnet_50_145ac6a_report,51.333333333333336,60.2
resnet_50_145ac6a_report,51.5,61.8
resnet_50_145ac6a_report,51.666666666666664,60.6
resnet_50_145ac6a_report,51.833333333333336,59.6
resnet_50_145ac6a_report,52.0,60.8
resnet_50_145ac6a_report,52.166666666666664,60.6
resnet_50_145ac6a_report,52.333333333333336,59.4
resnet_50_145ac6a_report,52.5,61.3
resnet_50_145ac6a_report,52.666666666666664,60.2
resnet_50_145ac6a_report,52.833333333333336,60.1
resnet_50_145ac6a_report,53.0,57.5
resnet_50_145ac6a_report,53.166666666666664,61.6
resnet_50_145ac6a_report,53.333333333333336,60.900000000000006
resnet_50_145ac6a_report,53.5,58.5
resnet_50_145ac6a_report,53.666666666666664,60.2
resnet_50_145ac6a_report,53.833333333333336,59.7
resnet_50_145ac6a_report,54.0,60.2
resnet_50_145ac6a_report,54.166666666666664,58.4
resnet_50_145ac6a_report,54.333333333333336,59.900000000000006
resnet_50_145ac6a_report,54.5,60.8
resnet_50_145ac6a_report,54.666666666666664,59.5
resnet_50_145ac6a_report,54.833333333333336,60.900000000000006
resnet_50_145ac6a_report,55.0,60.2
resnet_50_145ac6a_report,55.166666666666664,58.8
resnet_50_145ac6a_report,55.333333333333336,61.6
resnet_50_145ac6a_report,55.5,60.2
resnet_50_145ac6a_report,55.666666666666664,57.4
resnet_50_145ac6a_report,55.833333333333336,60.2
resnet_50_145ac6a_report,56.0,59.5
resnet_50_145ac6a_report,56.166666666666664,58.099999999999994
resnet_50_145ac6a_report,56.333333333333336,60.2
resnet_50_145ac6a_report,56.5,59.5
resnet_50_145ac6a_report,56.666666666666664,58.8
resnet_50_145ac6a_report,56.833333333333336,59.5
resnet_50_145ac6a_report,57.0,60.2
resnet_50_145ac6a_report,57.166666666666664,57.099999999999994
resnet_50_145ac6a_report,57.333333333333336,57.8
resnet_50_145ac6a_report,57.5,57.599999999999994
resnet_50_145ac6a_report,57.666666666666664,59.3
resnet_50_145ac6a_report,57.833333333333336,58.099999999999994
resnet_50_145ac6a_report,58.0,57.4
resnet_50_145ac6a_report,58.166666666666664,60.2
resnet_50_145ac6a_report,58.333333333333336,58.7
resnet_50_145ac6a_report,58.5,57.9
resnet_50_145ac6a_report,58.666666666666664,58.5
resnet_50_145ac6a_report,58.833333333333336,57.8
resnet_50_145ac6a_report,59.0,55.6
resnet_50_145ac6a_report,59.166666666666664,60.2
resnet_50_145ac6a_report,59.333333333333336,60.2
resnet_50_145ac6a_report,59.5,57.4
resnet_50_145ac6a_report,59.666666666666664,60.2
resnet_50_145ac6a_report,59.833333333333336,57.4
resnet_50_145ac6a_report,60.0,60.2
resnet_50_145ac6a_report,60.166666666666664,57.4
resnet_50_145ac6a_report,60.333333333333336,60.2
resnet_50_145ac6a_report,60.5,58.8
resnet_50_145ac6a_report,60.666666666666664,58.8
resnet_50_145ac6a_report,60.833333333333336,60.2
resnet_50_145ac6a_report,61.0,58.099999999999994
resnet_50_145ac6a_report,61.166666666666664,59.5
resnet_50_145ac6a_report,61.333333333333336,60.2
resnet_50_145ac6a_report,61.5,60.2
resnet_50_145ac6a_report,61.666666666666664,57.4
resnet_50_145ac6a_report,61.833333333333336,57.4
resnet_50_145ac6a_report,62.0,60.2
resnet_50_145ac6a_report,62.166666666666664,58.0
resnet_50_145ac6a_report,62.333333333333336,59.6
resnet_50_145ac6a_report,62.5,57.4
resnet_50_145ac6a_report,62.666666666666664,60.2
resnet_50_145ac6a_report,62.833333333333336,57.4
resnet_50_145ac6a_report,63.0,86.1
resnet_50_145ac6a_report,63.166666666666664,147.5
resnet_50_145ac6a_report,63.333333333333336,165.7
resnet_50_145ac6a_report,63.5,150.1
resnet_50_145ac6a_report,63.666666666666664,162.89999999999998
resnet_50_145ac6a_report,63.833333333333336,164.1
resnet_50_145ac6a_report,64.0,160.8
resnet_50_145ac6a_report,64.16666666666667,118.3
resnet_50_145ac6a_report,64.33333333333333,137.39999999999998
resnet_50_145ac6a_report,64.5,174.0
resnet_50_145ac6a_report,64.66666666666667,159.5
resnet_50_145ac6a_report,64.83333333333333,163.2
resnet_50_145ac6a_report,65.0,117.0
resnet_50_145ac6a_report,65.16666666666667,119.6
resnet_50_145ac6a_report,65.33333333333333,140.6
resnet_50_145ac6a_report,65.5,160.3
resnet_50_145ac6a_report,65.66666666666667,149.8
resnet_50_145ac6a_report,65.83333333333333,118.5
resnet_50_145ac6a_report,66.0,120.4
resnet_50_145ac6a_report,66.16666666666667,121.8
resnet_50_145ac6a_report,66.33333333333333,164.4
resnet_50_145ac6a_report,66.5,129.0
resnet_50_145ac6a_report,66.66666666666667,121.4
resnet_50_145ac6a_report,66.83333333333333,120.5
resnet_50_145ac6a_report,67.0,137.2
resnet_50_145ac6a_report,67.16666666666667,153.10000000000002
resnet_50_145ac6a_report,67.33333333333333,121.10000000000001
resnet_50_145ac6a_report,67.5,123.10000000000001
resnet_50_145ac6a_report,67.66666666666667,120.4
resnet_50_145ac6a_report,67.83333333333333,146.6
resnet_50_145ac6a_report,68.0,127.4
resnet_50_145ac6a_report,68.16666666666667,126.4
resnet_50_145ac6a_report,68.33333333333333,124.5
resnet_50_145ac6a_report,68.5,146.7
resnet_50_145ac6a_report,68.66666666666667,116.4
resnet_50_145ac6a_report,68.83333333333333,123.8
resnet_50_145ac6a_report,69.0,117.60000000000001
resnet_50_145ac6a_report,69.16666666666667,119.5
