"Time","avg"
2026-01-10 12:40:00,35.3 ms
2026-01-10 13:00:00,35.3 ms
2026-01-10 13:20:00,43.4 ms
2026-01-10 13:40:00,35.4 ms
2026-01-10 14:00:00,35.3 ms
2026-01-10 14:20:00,35.3 ms
2026-01-10 14:40:00,35.3 ms
2026-01-10 15:00:00,35.3 ms
2026-01-10 15:20:00,35.3 ms
2026-01-10 15:40:00,35.3 ms
2026-01-10 16:00:00,86.8 ms
2026-01-10 16:20:00,35.5 ms
2026-01-10 16:40:00,35.3 ms
2026-01-10 17:00:00,35.3 ms
2026-01-10 17:20:00,35.3 ms
2026-01-10 17:40:00,35.3 ms
2026-01-10 18:00:00,35.6 ms
2026-01-10 18:20:00,35.3 ms
2026-01-10 18:40:00,35.6 ms
2026-01-10 19:00:00,35.6 ms
2026-01-10 19:20:00,35.6 ms
2026-01-10 19:40:00,35.3 ms
2026-01-10 20:00:00,36.9 ms
2026-01-10 20:20:00,35.6 ms
2026-01-10 20:40:00,35.5 ms
2026-01-10 21:00:00,35.6 ms
2026-01-10 21:20:00,35.6 ms
2026-01-10 21:40:00,35.6 ms
2026-01-10 22:00:00,35.6 ms
2026-01-10 22:20:00,35.6 ms
2026-01-10 22:40:00,35.6 ms
2026-01-10 23:00:00,35.6 ms
2026-01-10 23:20:00,35.6 ms
2026-01-10 23:40:00,35.6 ms
2026-01-11 00:00:00,35.6 ms
2026-01-11 00:20:00,35.6 ms
2026-01-11 00:40:00,35.6 ms
2026-01-11 01:00:00,35.6 ms
2026-01-11 01:20:00,35.5 ms
2026-01-11 01:40:00,35.6 ms
2026-01-11 02:00:00,35.6 ms
2026-01-11 02:20:00,35.6 ms
2026-01-11 02:40:00,35.3 ms
2026-01-11 03:00:00,35.6 ms
2026-01-11 03:20:00,35.6 ms
2026-01-11 03:40:00,35.6 ms
2026-01-11 04:00:00,35.6 ms
2026-01-11 04:20:00,35.6 ms
2026-01-11 04:40:00,35.6 ms
2026-01-11 05:00:00,35.6 ms
2026-01-11 05:20:00,35.6 ms
2026-01-11 05:40:00,35.6 ms
2026-01-11 06:00:00,35.6 ms
2026-01-11 06:20:00,35.5 ms
2026-01-11 06:40:00,35.6 ms
2026-01-11 07:00:00,35.6 ms
2026-01-11 07:20:00,35.6 ms
2026-01-11 07:40:00,35.6 ms
2026-01-11 08:00:00,35.5 ms
2026-01-11 08:20:00,35.5 ms
2026-01-11 08:40:00,36.8 ms
2026-01-11 09:00:00,35.6 ms
2026-01-11 09:20:00,42.7 ms
2026-01-11 09:40:00,59.9 ms
2026-01-11 10:00:00,35.5 ms
2026-01-11 10:20:00,35.6 ms
2026-01-11 10:40:00,432 ms
2026-01-11 11:00:00,35.7 ms
2026-01-11 11:20:00,35.4 ms
2026-01-11 11:40:00,35.8 ms
2026-01-11 12:00:00,35.5 ms
2026-01-11 12:20:00,35.5 ms
2026-01-11 12:40:00,35.6 ms
2026-01-11 13:00:00,35.6 ms
2026-01-11 13:20:00,68.2 ms
2026-01-11 13:40:00,35.3 ms
2026-01-11 14:00:00,35.5 ms
2026-01-11 14:20:00,35.6 ms
2026-01-11 14:40:00,35.6 ms
2026-01-11 15:00:00,35.5 ms
2026-01-11 15:20:00,35.6 ms
2026-01-11 15:40:00,35.6 ms
2026-01-11 16:00:00,35.6 ms
2026-01-11 16:20:00,35.5 ms
2026-01-11 16:40:00,35.6 ms
2026-01-11 17:00:00,35.6 ms
2026-01-11 17:20:00,35.5 ms
2026-01-11 17:40:00,35.2 ms
2026-01-11 18:00:00,35.2 ms
2026-01-11 18:20:00,35.4 ms
2026-01-11 18:40:00,35.2 ms
2026-01-11 19:00:00,35.5 ms
2026-01-11 19:20:00,35.5 ms
2026-01-11 19:40:00,35.3 ms
2026-01-11 20:00:00,35.3 ms
2026-01-11 20:20:00,35.4 ms
2026-01-11 20:40:00,35.6 ms
2026-01-11 21:00:00,35.3 ms
2026-01-11 21:20:00,35.7 ms
2026-01-11 21:40:00,35.6 ms
2026-01-11 22:00:00,35.5 ms
2026-01-11 22:20:00,35.6 ms
2026-01-11 22:40:00,35.5 ms
2026-01-11 23:00:00,35.6 ms
2026-01-11 23:20:00,35.5 ms
2026-01-11 23:40:00,35.6 ms
2026-01-12 00:00:00,35.7 ms
2026-01-12 00:20:00,79.5 ms
2026-01-12 00:40:00,35.7 ms
2026-01-12 01:00:00,35.5 ms
2026-01-12 01:20:00,35.5 ms
2026-01-12 01:40:00,35.5 ms
2026-01-12 02:00:00,35.5 ms
2026-01-12 02:20:00,35.5 ms
2026-01-12 02:40:00,35.5 ms
2026-01-12 03:00:00,49.1 ms
2026-01-12 03:20:00,35.7 ms
2026-01-12 03:40:00,35.5 ms
2026-01-12 04:00:00,35.6 ms
2026-01-12 04:20:00,35.5 ms
2026-01-12 04:40:00,35.3 ms
2026-01-12 05:00:00,35.3 ms
2026-01-12 05:20:00,35.3 ms
2026-01-12 05:40:00,133 ms
2026-01-12 06:00:00,35.6 ms
2026-01-12 06:20:00,35.5 ms
2026-01-12 06:40:00,35.3 ms
2026-01-12 07:00:00,35.6 ms
2026-01-12 07:20:00,35.3 ms
2026-01-12 07:40:00,35.3 ms
2026-01-12 08:00:00,90.7 ms
2026-01-12 08:20:00,35.3 ms
2026-01-12 08:40:00,35.5 ms
2026-01-12 09:00:00,35.3 ms
2026-01-12 09:20:00,35.5 ms
2026-01-12 09:40:00,35.5 ms
2026-01-12 10:00:00,35.6 ms
2026-01-12 10:20:00,35.5 ms
2026-01-12 10:40:00,89.8 ms
2026-01-12 11:00:00,83.0 ms
2026-01-12 11:20:00,35.4 ms
2026-01-12 11:40:00,35.4 ms
2026-01-12 12:00:00,35.4 ms
2026-01-12 12:20:00,35.4 ms
2026-01-12 12:40:00,35.4 ms
2026-01-12 13:00:00,35.3 ms
2026-01-12 13:20:00,35.4 ms
2026-01-12 13:40:00,35.7 ms
2026-01-12 14:00:00,35.2 ms
2026-01-12 14:20:00,35.3 ms
2026-01-12 14:40:00,35.3 ms
2026-01-12 15:00:00,35.3 ms
2026-01-12 15:20:00,35.3 ms
2026-01-12 15:40:00,35.3 ms
2026-01-12 16:00:00,155 ms
