"Time","gateway1","scheduler","worker1","worker2","worker3","worker4"
2026-01-07 14:20:00,2.58 kb/s,9.26 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-07 14:40:00,2.59 kb/s,9.54 kb/s,38.2 Mb/s,39.4 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-07 15:00:00,2.58 kb/s,9.61 kb/s,56.9 Mb/s,58.3 Mb/s,152 Mb/s,51.1 Mb/s
2026-01-07 15:20:00,2.58 kb/s,9.42 kb/s,38.2 Mb/s,39.4 Mb/s,121 Mb/s,44.4 Mb/s
2026-01-07 15:40:00,2.59 kb/s,9.02 kb/s,41.4 Mb/s,46.0 Mb/s,121 Mb/s,45.1 Mb/s
2026-01-07 16:00:00,2.60 kb/s,9.19 kb/s,53.5 Mb/s,51.6 Mb/s,173 Mb/s,48.0 Mb/s
2026-01-07 16:20:00,2.60 kb/s,11.1 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,45.3 Mb/s
2026-01-07 16:40:00,2.58 kb/s,14.6 kb/s,37.9 Mb/s,39.4 Mb/s,114 Mb/s,39.7 Mb/s
2026-01-07 17:00:00,2.59 kb/s,9.31 kb/s,38.0 Mb/s,39.4 Mb/s,107 Mb/s,32.1 Mb/s
2026-01-07 17:20:00,2.58 kb/s,9.56 kb/s,38.2 Mb/s,39.7 Mb/s,94.6 Mb/s,19.8 Mb/s
2026-01-07 17:40:00,2.59 kb/s,9.04 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-07 18:00:00,2.58 kb/s,9.33 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-07 18:20:00,2.59 kb/s,9.44 kb/s,42.2 Mb/s,43.0 Mb/s,94.6 Mb/s,27.8 Mb/s
2026-01-07 18:40:00,2.59 kb/s,9.70 kb/s,52.9 Mb/s,53.0 Mb/s,146 Mb/s,42.3 Mb/s
2026-01-07 19:00:00,2.58 kb/s,9.77 kb/s,38.0 Mb/s,41.2 Mb/s,127 Mb/s,45.3 Mb/s
2026-01-07 19:20:00,2.59 kb/s,9.32 kb/s,40.2 Mb/s,45.1 Mb/s,124 Mb/s,41.1 Mb/s
