"Time","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr"
2026-01-09 13:00:00,,,,,,,,6.08,6.08,6.14
2026-01-09 13:20:00,,,,,,,,6.36,6.07,6.12
2026-01-09 13:40:00,,,,,,,,6.23,6.07,6.11
2026-01-09 14:00:00,,,,,,,,6.28,6.12,6.12
2026-01-09 14:20:00,,,,,,,,6.16,6.32,6.12
2026-01-09 14:40:00,,,,,,,,6.07,6.11,6.18
2026-01-09 15:00:00,,,,,,,,6.15,6.12,6.10
2026-01-09 15:20:00,,,,,,,,6.14,6.08,6.10
2026-01-09 15:40:00,,,,,,,,6.07,6.10,6.11
2026-01-09 16:00:00,,,,,,,,6.17,6.28,6.08
2026-01-09 16:20:00,,,,,,,,6.15,6.01,6.08
2026-01-09 16:40:00,,,,,,,,6.24,6.10,6.10
2026-01-09 17:00:00,,,,,,,,6.24,6.35,6.09
2026-01-09 17:20:00,,,,,,,,6.16,6.24,6.09
2026-01-09 17:40:00,,,,,,,,6.15,6.14,6.11
2026-01-09 18:00:00,,,,,,,,6.15,6.09,6.10
2026-01-09 18:20:00,,,,,,,,6.15,6.02,6.15
2026-01-09 18:40:00,,,,,,,,6.16,6.08,6.19
2026-01-09 19:00:00,,,,,,,,6.13,6.02,6.13
2026-01-09 19:20:00,,,,,,,,6.06,6.08,6.16
2026-01-09 19:40:00,,,,,,,,6.33,6.09,6.15
2026-01-09 20:00:00,,,,,,,,6.06,6.08,6.09
2026-01-09 20:20:00,,,,,,,,6.05,6.03,6.10
2026-01-09 20:40:00,,,,,,,,6.25,6.18,6.14
2026-01-09 21:00:00,,,,,,,,6.12,6.01,6.13
2026-01-09 21:20:00,,,,,,,,6.16,6.29,6.14
